country;country_clean;region;is_developed;year;month;quarter;date;period;season;year_category;energy_source;energy_source_clean;source_category;energy_type;electricity_production_gwh;share_of_total;is_renewable;is_fossil;energy_intensity_category;is_outlier;is_negative;is_zero
Australia;Australia;Oceania;True;2013;1;1;1/1/2013;2010-2014;Winter;Early 2010s;Oil;Oil;Fossil Fuel;Conventional;4.428.611;0.0159545951693126;False;True;Medium;False;False;False
Australia;Australia;Oceania;True;2013;1;1;1/1/2013;2010-2014;Winter;Early 2010s;Solar;Solar;Renewable;Clean Energy;3.752.444;0.0162360244174893;True;False;Medium;False;False;False
Australia;Australia;Oceania;True;2013;1;1;1/1/2013;2010-2014;Winter;Early 2010s;Wind;Wind;Renewable;Clean Energy;9.543.505;0.0415123761691317;True;False;Medium;False;False;False
Australia;Australia;Oceania;True;2014;1;1;1/1/2014;2010-2014;Winter;Early 2010s;Coal;Coal;Fossil Fuel;Conventional;145.301.084;0.6106946222129596;False;True;Very High;False;False;False
Australia;Australia;Oceania;True;2014;1;1;1/1/2014;2010-2014;Winter;Early 2010s;Geothermal;Geothermal;Renewable;Clean Energy;0.996;4,19E+09;True;False;Low;False;False;False
Australia;Australia;Oceania;True;2014;1;1;1/1/2014;2010-2014;Winter;Early 2010s;Hydro;Hydro;Renewable;Clean Energy;14.590.378;0.0613205593918446;True;False;High;False;False;False
Australia;Australia;Oceania;True;2014;1;1;1/1/2014;2010-2014;Winter;Early 2010s;Natural gas;Natural Gas;Fossil Fuel;Conventional;53.926.202;0.2262508071235689;False;True;High;False;False;False
Australia;Australia;Oceania;True;2014;1;1;1/1/2014;2010-2014;Winter;Early 2010s;Oil;Oil;Fossil Fuel;Conventional;6.115.132;0.0249441504415878;False;True;Medium;False;False;False
Australia;Australia;Oceania;True;2014;1;1;1/1/2014;2010-2014;Winter;Early 2010s;Solar;Solar;Renewable;Clean Energy;4.534.416;0.0190191377829885;True;False;Medium;False;False;False
Australia;Australia;Oceania;True;2014;1;1;1/1/2014;2010-2014;Winter;Early 2010s;Wind;Wind;Renewable;Clean Energy;10.410.671;0.0437313087778662;True;False;High;False;False;False
Australia;Australia;Oceania;True;2015;1;1;1/1/2015;2010-2014;Winter;Early 2010s;Coal;Coal;Fossil Fuel;Conventional;152.537.683.463;0.6328367801891643;False;True;Very High;False;False;False
Australia;Australia;Oceania;True;2015;1;1;1/1/2015;2010-2014;Winter;Early 2010s;Geothermal;Geothermal;Renewable;Clean Energy;0.498;2,09E+10;True;False;Low;False;False;False
Australia;Australia;Oceania;True;2015;1;1;1/1/2015;2010-2014;Winter;Early 2010s;Hydro;Hydro;Renewable;Clean Energy;14.263.526.273;0.0590014710152274;True;False;High;False;False;False
Australia;Australia;Oceania;True;2015;1;1;1/1/2015;2010-2014;Winter;Early 2010s;Natural gas;Natural Gas;Fossil Fuel;Conventional;47.353.981.764;0.1965957415402097;False;True;High;False;False;False
Australia;Australia;Oceania;True;2015;1;1;1/1/2015;2010-2014;Winter;Early 2010s;Oil;Oil;Fossil Fuel;Conventional;6.137.008.159;0.0254785263017395;False;True;Medium;False;False;False
Australia;Australia;Oceania;True;2015;1;1;1/1/2015;2010-2014;Winter;Early 2010s;Solar;Solar;Renewable;Clean Energy;5.022.856.996;0.020944717495309;True;False;Medium;False;False;False
Australia;Australia;Oceania;True;2015;1;1;1/1/2015;2010-2014;Winter;Early 2010s;Wind;Wind;Renewable;Clean Energy;12.490.271.786;0.0516221688141096;True;False;High;False;False;False
Australia;Australia;Oceania;True;2016;1;1;1/1/2016;2015-2017;Winter;Mid 2010s;Coal;Coal;Fossil Fuel;Conventional;154.201.646.306;0.6273132654315651;False;True;Very High;False;False;False
Australia;Australia;Oceania;True;2016;1;1;1/1/2016;2015-2017;Winter;Mid 2010s;Geothermal;Geothermal;Renewable;Clean Energy;0.498;2,10E+10;True;False;Low;False;False;False
Australia;Australia;Oceania;True;2016;1;1;1/1/2016;2015-2017;Winter;Mid 2010s;Hydro;Hydro;Renewable;Clean Energy;17.985.428.191;0.0735079365188898;True;False;High;False;False;False
Australia;Australia;Oceania;True;2016;1;1;1/1/2016;2015-2017;Winter;Mid 2010s;Natural gas;Natural Gas;Fossil Fuel;Conventional;4.403.796.038;0.1785266525060088;False;True;High;False;False;False
Australia;Australia;Oceania;True;2016;1;1;1/1/2016;2015-2017;Winter;Mid 2010s;Oil;Oil;Fossil Fuel;Conventional;3.692.240.496;0.0145972604541949;False;True;Medium;False;False;False
Australia;Australia;Oceania;True;2016;1;1;1/1/2016;2015-2017;Winter;Mid 2010s;Solar;Solar;Renewable;Clean Energy;7.066.919.425;0.0291199536149669;True;False;Medium;False;False;False
Australia;Australia;Oceania;True;2016;1;1;1/1/2016;2015-2017;Winter;Mid 2010s;Wind;Wind;Renewable;Clean Energy;13.701.626.079;0.0558646554070076;True;False;High;False;False;False
Australia;Australia;Oceania;True;2017;1;1;1/1/2017;2015-2017;Winter;Mid 2010s;Coal;Coal;Fossil Fuel;Conventional;148.597.716.462;0.6055249760301096;False;True;Very High;False;False;False
Australia;Australia;Oceania;True;2017;1;1;1/1/2017;2015-2017;Winter;Mid 2010s;Geothermal;Geothermal;Renewable;Clean Energy;0.498;2,04E+09;True;False;Low;False;False;False
Australia;Australia;Oceania;True;2017;1;1;1/1/2017;2015-2017;Winter;Mid 2010s;Hydro;Hydro;Renewable;Clean Energy;13.532.228.373;0.0551135697790483;True;False;High;False;False;False
Australia;Australia;Oceania;True;2017;1;1;1/1/2017;2015-2017;Winter;Mid 2010s;Natural gas;Natural Gas;Fossil Fuel;Conventional;5.195.510.027;0.2120410622790849;False;True;High;False;False;False
Australia;Australia;Oceania;True;2017;1;1;1/1/2017;2015-2017;Winter;Mid 2010s;Oil;Oil;Fossil Fuel;Conventional;5.430.265.535;0.0221621990240912;False;True;Medium;False;False;False
Australia;Australia;Oceania;True;2017;1;1;1/1/2017;2015-2017;Winter;Mid 2010s;Solar;Solar;Renewable;Clean Energy;8.683.883.517;0.0355048173364663;True;False;Medium;False;False;False
Australia;Australia;Oceania;True;2017;1;1;1/1/2017;2015-2017;Winter;Mid 2010s;Wind;Wind;Renewable;Clean Energy;13.492.805.631;0.05501543171667;True;False;High;False;False;False
Australia;Australia;Oceania;True;2018;1;1;1/1/2018;2015-2017;Winter;Mid 2010s;Coal;Coal;Fossil Fuel;Conventional;146.846.260.225;0.5927874326068953;False;True;Very High;False;False;False
Australia;Australia;Oceania;True;2018;1;1;1/1/2018;2015-2017;Winter;Mid 2010s;Geothermal;Geothermal;Renewable;Clean Energy;0.0;0.0;True;False;Low;False;False;True
Australia;Australia;Oceania;True;2018;1;1;1/1/2018;2015-2017;Winter;Mid 2010s;Hydro;Hydro;Renewable;Clean Energy;17.819.081.472;0.0717094944743753;True;False;High;False;False;False
Australia;Australia;Oceania;True;2018;1;1;1/1/2018;2015-2017;Winter;Mid 2010s;Natural gas;Natural Gas;Fossil Fuel;Conventional;46.601.462.012;0.1880527105862914;False;True;High;False;False;False
Australia;Australia;Oceania;True;2018;1;1;1/1/2018;2015-2017;Winter;Mid 2010s;Nuclear;Nuclear;Nuclear;Clean Energy;0.0;0.0;False;False;Low;False;False;True
